"nomscientifiqueref";"nomvernaculaire";"cdnom";"espece";"genre";"famille";"especeevalueelr";"especereglementee";"dateobservation";"codeinseecommune";"annee"
"Troglodytes troglodytes";"Troglodyte mignon";3967;"Troglodytes troglodytes";"Troglodytes";"Troglodytidae";"false";"true";"2014-12-11";10224;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"true";"false";"2014-02-23";68375;2014
"Certhia brachydactyla";"Grimpereau des jardins";3791;"Certhia brachydactyla";"Certhia";"Certhiidae";"false";"false";"2014-11-02";10104;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"true";"false";"2014-10-04";52123;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-01-22";68029;2014
"Fringilla coelebs";"Pinson des arbres";4564;"Fringilla coelebs";"Fringilla";"Fringillidae";"false";"false";"2014-01-25";8105;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"false";"true";"2014-08-20";52123;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-11-14";52250;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"false";"true";"2014-01-17";8472;2014
"Dendrocopos major";"Pic épeiche";3611;"Dendrocopos major";"Dendrocopos";"Picidae";"false";"false";"2014-12-05";52250;2014
"Fringilla coelebs";"Pinson des arbres";4564;"Fringilla coelebs";"Fringilla";"Fringillidae";"true";"false";"2014-12-22";52250;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-11-23";52250;2014
